LOCATION,X SERIAL,Y SERIAL,Z SERIAL,OT1
0.401475,-32.075021,-18.349995,9.483113,0.001957
0.451653,-36.313478,-20.826595,9.143728,0.022273
0.501877,-40.49368,-23.258595,8.238603,0.02175
0.552016,-44.571077,-25.621621,6.821175,0.016477
0.602097,-48.530946,-27.909498,5.002127,0.015945
0.652165,-52.363485,-30.109849,2.835391,0.015948
0.70175,-56.146963,-32.238827,0.518611,0.019459
0.751456,-60.079427,-34.468805,-1.430094,0.001637
0.801434,-64.007807,-36.688473,-3.398382,0.015647
0.851568,-67.827846,-38.824129,-5.649999,0.014293
0.901326,-71.574625,-40.908549,-8.068927,0.018456
0.950659,-75.440764,-43.085383,-10.19736,0.057398
1,-79.496033,-45.445277,-11.682654,0.046049
